Neuron,NonNeuronal
Gsc,Lifr
Gse1,Limch1
Gtf2e1,Limd1
Gucy1a2,Lingo1
Gxylt2,Lipg
H1f10,Lipt1
H2-M5,Lix1
Has3,Lonrf3
Haus3,Loxl1
Hcn1,Lpin3
Hcn3,Lpp
Hcn4,Lrch3
Hcrtr2,Lrig1
Hdgfl3,Lrp4
Hdx,Carmil1
Mroh7,Lrrc23
Hecw1,Lrrc38
Hells,Lrrc52
Hexim2,Lrrc8a
Hfm1,Lrrc9
Hirip3,Lrrk2
Hmg20a,Lrtm2
Hmgb3,Ltbp1
Jpt1,Lxn
Hnrnpa1,Lyrm4
Homer2,Macf1
Hook1,Magt1
Hook2,Malat1
Hp,Mamdc2
Hpca,Mamdc4
Hrh3,Maob
Hrk,Map2
Hs3st5,Map4
Hs3st6,Mapk4
Hs6st3,Mtarc2
Hspa12a,Mars2
Htr1a,Masp2
Htr1b,Mast4
Htr1d,Mavs
Htr1f,Mboat2
Htr2c,Mcc
Htr3a,Mcee
Htr7,Mdm4
Hyls1,Mdn1
Ica1l,Med12
Ids,Med12l
Igf1,Med7
Igf2bp2,Megf10
Igf2r,Meis1
Igfbpl1,Mettl11b
Ighm,Mfap3l
Ighv1-31,Mfge8
Igkc,Mga
Igsf3,Mgst1
Igsf8,Mical1
Igsf9,Micall2
Il12a,Mid1ip1
Il1rapl2,Mier3
Ina,Mink1
Incenp,Mir467f
Ing1,Mks1
Inha,Mlc1
Inpp5f,Kmt2c
Inpp5j,Mmab
Insl5,Mmd2
Insm1,Mmp14
Insm2,Morc3
Insrr,Mpc1
Ipcef1,Mpdz
Ipw,Mpp5
Iqcb1,Mpp6
Iqsec3,Mras
Irs1,Msi2
Irs4,Msx2
Irx2,Mt2
Isl1,Mt3
Islr,Map7d3
Islr2,Mterf1a
Isoc1,Mterf4
Nmrk2,Mthfd1
Itgbl1,Tesmin
Itpka,Mtm1
Jakmip1,Mtmr11
Jph4,Mtx3
Kalrn,Muc1
Kat5,Mup6
Kazald1,Mmut
Kcna4,Myh11
Kcnb2,Myh14
Kcnc1,Myh15
Kcnc2,Myh6
Kcng1,Mylk2
Kcng3,Myo10
Kcnh1,Myo19
Kcnh4,Myo6
Kcnh7,Myom3
Kcnip2,Myrip
Kcnip4,Naa16
Kcnj11,Nacc2
Kcnj3,Nadk
Kcnj5,Nadk2
Kcnk9,Naprt
Kcnmb2,Naprt
Kcnq2,Nat1
Kcnq5,Hyal1
Kcns1,Nat8
Kcns2,Ncam1
Kcnt1,Ncan
Kctd15,Nckap5
Kctd16,Spaca6
Kctd8,Nde1
Kdm2b,Ndp
Kdm4a,Ndrg2
Kdm4b,Nebl
Kdm5a,Nek8
Kdm5b,Nexn
Khdc4,Nfxl1
4932438A13Rik,Ngef
Cip2a,Nhsl1
Kif11,Nipal1
Kif17,Nlrx1
Kif21b,Nmb
Kif22,Nme7
Kif4,Notch1
Kif5c,Notch2
Kifc2,Notch3
Kifc5b,Npas2
Kiss1r,Npas3
Kit,Npff
Klc2,Nphp3
Klf12,Nphs1
Klf8,Nphs1os
Klhdc8a,Nps
Klhl1,Nqo1
Klhl12,Nr1d1
Klhl14,Nr2e1
Klhl29,Nr2f1
Klhl33,Nr3c2
Klhl34,Nr4a1
Kmt2a,Nr4a2
Kmt2b,Nr4a3
Krt73,Nrarp
Krt79,Nrbp2
Ksr1,Nrcam
Ksr2,Nrxn1
L1cam,Nsdhl
L3mbtl1,Ntrk3
L3mbtl4,Ntsr2
Lama3,Nudt12
Lancl2,Nudt19
Cers6,Nudt2
Lefty2,Nudt7
Lemd1,Nup62cl
Lgals7,Nup93
Lgi1,Nvl
Lgi2,Nwd1
Lhfpl1,Oat
Lhfpl4,Odf2l
Lhfpl5,Odf3
Lhx1,Tenm3
Lhx5,Olfml1
Lhx6,Olfml2a
Lhx8,Olfr90
Lhx9,Oplah
Lig1,Optc
Limk2,Osr2
Lin28b,Otx1
Lingo2,Ovol1
Lmna,Oxa1l
Lmo3,Oxnad1
Lmtk3,P2rx6
Lmx1a,P4ha2
Lonrf1,P4ha3
Lonrf2,Pabpc4l
Lor,Pacsin3
Lpcat4,Palld
Lpgat1,Pamr1
Adgrl1,Papss2
Plppr3,Paqr4
Plppr4,Paqr6
Lrch2,Paqr7
Pidd1,Paqr8
Lrfn5,Pard3b
Lrig3,Parp12
Carmil3,Parp3
Lrrc24,Parva
Lrrc26,Pax4
Lrrc3b,Pax6
Lrrn4cl,Pbld2
Lsm11,Pbxip1
Lsm14b,pc
Luc7l,Pcdh10
Ly6g6c,Pcdhgb6
Ly6h,Pcdhgc5
Lypd6b,Pcsk9
Lyrm7,Pcx
Mab21l1,Pde1b
Mab21l3,Pde3a
Mad2l1,Pde9a
Madd,Pdgfc
Magee1,Pdgfrb
Magel2,Pdk4
Mal2,Pdlim3
Maml3,Pdlim4
Map3k12,Pdlim5
Map3k15,Pdp2
Map3k4,Pdpn
Map3k9,Pdss1
Map4k3,Pdyn
Map9,Pdzd11
Mapk8,Pdzrn3
Mapk8ip2,Peak1
Mapk9,Per3
Mapt,Pex2
Marchf11,Pfkm
Marchf4,Jade1
9-Mar,Phf21b
Mark1,Phgdh
Mast1,Phka1
Mblac2,Phkb
Mchr1,Phkg1
Mctp1,Phyhipl
Mctp2,Pigm
Mdga1,Pikfyve
Mecp2,Pipox
Med10,Pitpnc1
Med14,Pkd2
Meg3,Pkdrej
Mei4,Pkp2
Meis1,Pla2g3
Mesp1,Pla2g5
Mesp2,Pla2g7
Met,Plagl1
Mex3a,Plcb3
Mex3d,Plcd4
Mgat4c,Plch1
Mgat5,Pld2
Mgst3,Plec
Mia,Pln
Miat,Plod2
Mical2,Pls1
Micu3,Plscr1
Minpp1,Plxnb1
Mirg,Plxnc1
Mki67,Pm20d1
Mkrn3,Pmm1
Mlf1,Poln
Mllt11,Polr3g
Mme,Pomt1
Mmp11,Pon2
Mmp24,Pou2f1
Mn1,Pou3f2
Mnd1,Pou3f4
Moap1,Plpp3
Morc2a,Ppara
Mpped1,Ppfia1
Mpped2,Ppil6
Mrap2,Ppp1r12a
Mrgbp,Ppp1r1a
Msl1,Ppp1r3c
Mst1r,Ppp1r3d
Mstn,Ppp1r3g
Map1b,Ppp2r2b
Map6,Ppp2r3a
Map7d2,Ppp2r5a
Map9,Ppp4r1l-ps
Mtfp1,Ppwd1
Mtss1,Prdm16
Mturn,Prdx6
Mtus2,Prdx6b
Muc6,Prex1
Pwwp3a,Prkd1
Myh8,Prkdc
Myl6b,Proca1
Myo5b,Prodh
Myo9a,Prpf38b
Myt1,Prpf39
