Gene Symbol,Negative logP
DSTN,1.444857165
PLXND1,1.96405022
COL16A1,1.790672684
LUC7L3,3.31475104
MAP1S,1.667278836
B4GALT7,1.778768387
GPR132,1.819530038
PBX2,2.59016828
FAU,1.317223354
SKA2,3.388648497
USP21,1.353429646
EIF2B3,3.028960851
CBLL1,1.425783473
DEFA1B,2.164017883
SCGB3A2,1.521101778
TICAM2,2.110317406
LZTS2,2.101170644
SLC26A9,2.550028189
DUSP12,2.377019642
PAFAH1B2,1.585277279
NUP160,6.390149571
GBP2,1.394791954
TMC6,1.362220171
CABYR,1.524663013
ANAPC10,2.253326888
BAG5,1.416846586
CRTC3,1.356192137
GNS,1.902083591
FAM161A,1.707013333
FLG2,1.46722015
SULT1C2,1.485771113
DDX43,1.544287418
WAC,3.573537539
VPS33A,1.573879291
SPATA7,2.644797595
WHRN,1.745500261
SLC45A3,1.339153487
TLK2,1.331278706
CCNT2,1.378180027
RNF216,1.549350663
LPAR5,2.768275617
TMPRSS15,1.32685924
KIF1C,1.340625818
RAB11FIP3,1.550706775
PITPNA,1.947229131
MLPH,2.328947554
MFSD2A,3.826056563
IK,2.189411318
TSBP1,5.871180858
MFF,1.57262751
SOSTDC1,3.604586233
CHMP4C,1.314706219
TBX6,1.364254951
BOP1,1.553012618
RABAC1,2.053120529
CEP152,1.33293949
CEBPZ,1.593340618
KLF7,1.96385037
NCAPD2,1.450151056
LAPTM5,4.591827899
PFDN1,4.443769888
POLR1D,1.398961802
SCARA3,2.726929246
ZKSCAN1,2.78438887
IFNE,2.042780735
TTC7A,1.405044227
VARS,1.4527916
FKBPL,1.810285158
NCAPG,1.439185059
DNAJC7,1.450224528
RGS20,1.473441046
CEP57,2.787359686
COL25A1,1.963051888
MAFK,2.622475199
ZP4,2.354459839
C12orf65,1.50420598
CNN2,9.635861921
GREM2,1.331362526
UHMK1,1.556705713
PRR11,1.506068178
ZNF521,2.292216987
SGMS2,1.553726969
NUP50,1.3913884
DYNC1LI1,1.396541663
TPD52L2,2.243949938
ZFP36L2,2.472060919
GNAT3,1.577754975
MLNR,1.885722703
CRIP1,3.163308852
CFHR4,1.848691452
MINK1,4.11958088
INPP5K,1.703949398
FAM3B,1.347308953
GPC6,1.372112075
PLEKHA1,3.664542099
PEX16,1.669951675
USP24,3.798439022
CSTF1,4.590506463
LPCAT3,1.539162271
PJVK,3.185259773
CLCN6,1.719285081
SIX5,7.029727527
ANKHD1,2.699252388
MUCL1,1.900112273
NME4,1.707300997
UBA6,2.254847105
TFB1M,1.344919219
BUD13,1.540879031
KLLN,1.432044837
HP1BP3,1.982883151
OMG,1.706747967
RNASEH2B,1.479359285
APOC4,22.38936113
BTN2A1,1.626885619
ZNF384,2.721658031
HOXD4,2.605408247
FNBP4,6.274145515
RERE,2.518270803
